company_name,trade,city,state,county,aka,phone,address,license_number,license_source,license_count
TORRES ELECTRICAL SERVICE,Electrical,HOUSTON,TX,HARRIS,,7135622862,11910 DOVER STREET,17000,TDLR,1
ELECTRICAL INNOVATIONS OF TEXAS,Electrical,PASADENA,TX,HARRIS,,2815426301,2923 DEDMAN,17001,TDLR,1
JOHN J MITCHELL,Electrical,AUSTIN,TX,TRAVIS,,5124478069,PO BOX 17215,17005,TDLR,1
BUDD ELECTRIC CO INC,Electrical,CORPUS CHRISTI,TX,NUECES,,3618552255,3910 APOLLO,17007,TDLR,1
HARTSTACK ENTERPRIZE INC,Electrical,WASHINGTON,TX,WASHINGTON,,2816505384,19550 WASHINGTON CEMETERY RD,17011,TDLR,1
EXCEL ELECTRIC SERVICE INC,Electrical,MAXWELL,TX,TRAVIS,,5129893194,6016 FM 2720,17013,TDLR,1
NEMMER ELECTRIC INC,Electrical,WACO,TX,MCLENNAN,,2547562135,300 S 20TH ST,17015,TDLR,1
"ZACHRY INDUSTRIAL, INC",Electrical,SAN ANTONIO,TX,BEXAR,ZACHRY MAINTENANCE SERVICES LLC,2105887801,527 LOGWOOD AVE,17018,TDLR,2
DRW ELECTRIC LLC,Electrical,SPICEWOOD,TX,BURNET,,5122171807,21901 ERNEST LANE,17021,TDLR,1
INTEX ELECTRICAL CONT,Electrical,FORNEY,TX,KAUFMAN,,9722888041,11981 CLASSIC LANE,17024,TDLR,1
ALPINE AIR,Electrical,SHERMAN,TX,GRAYSON,,9038919154,309 N WILLOW,17026,TDLR,1
DIVERSIFIED ELECTRIC SERVICE INC,Electrical,GEORGETOWN,TX,WILLIAMSON,,5129301154,814 SHADY HOLLOW DRIVE,17028,TDLR,1
INSTRUMENTATION & ELECTRICAL SPECIALIST,Electrical,PASADENA,TX,HARRIS,,2814701063,2417 RANDOLPH,17031,TDLR,1
CAL ELECTRIC COMPANY,Electrical,MESQUITE,TX,DALLAS,,9722858837,2441 EDINBURGH ST,17032,TDLR,1
RICH CONSTRUCTION & SERVICE LP,Electrical,BELTON,TX,BELL,,2548313046,7575 W US HIGHWAY 190,17033,TDLR,1
MOORE POWER ELECTRIC INC,Electrical,SAN ANTONIO,TX,BEXAR,,2104952200,16906 SILVERWOOD,17035,TDLR,1
WEEKS SERVICE COMPANY,Electrical,LEAGUE CITY,TX,GALVESTON,,2813329555,1306 HIGHWAY 3 S,17036,TDLR,1
STEPHENVILLE CITY ELECTRIC INC,Electrical,STEPHENVILLE,TX,ERATH,,2549654141,241 E MASON,17038,TDLR,1
PAPE SERVICES LLC,Electrical,OAK LEAF,TX,ELLIS,,9728773964,1937 WILLOWBEND,17039,TDLR,1
ALTERMAN INC,Electrical,LIVE OAK,TX,BEXAR,,2104966888,7805 N LOOP 1604 E,17043,TDLR,1
LONG ELECTRIC CO,Electrical,ABILENE,TX,TAYLOR; OUT OF STATE,,3256722112,781 US HIGHWAY 80 E,17047,TDLR,2
"ADVANTAGE ELECTRIC, INC",Electrical,HOUSTON,TX,HARRIS; FAYETTE,,7138699113,720 W 20TH ST,17051,TDLR,2
