companies to verify (free): 894
[25/894] {'co': 25, 'sized': 25, 'owner': 20, 'mob': 13, 'not_in_zi': 0, 'not_az': 0}
[50/894] {'co': 50, 'sized': 50, 'owner': 40, 'mob': 32, 'not_in_zi': 0, 'not_az': 0}
[75/894] {'co': 74, 'sized': 74, 'owner': 54, 'mob': 44, 'not_in_zi': 1, 'not_az': 0}
[100/894] {'co': 96, 'sized': 96, 'owner': 71, 'mob': 58, 'not_in_zi': 4, 'not_az': 0}
[125/894] {'co': 115, 'sized': 115, 'owner': 85, 'mob': 72, 'not_in_zi': 10, 'not_az': 0}
[150/894] {'co': 130, 'sized': 130, 'owner': 92, 'mob': 77, 'not_in_zi': 20, 'not_az': 0}
[175/894] {'co': 143, 'sized': 143, 'owner': 98, 'mob': 82, 'not_in_zi': 32, 'not_az': 0}
[200/894] {'co': 168, 'sized': 168, 'owner': 113, 'mob': 96, 'not_in_zi': 32, 'not_az': 0}
[225/894] {'co': 193, 'sized': 193, 'owner': 131, 'mob': 111, 'not_in_zi': 32, 'not_az': 0}
[250/894] {'co': 214, 'sized': 214, 'owner': 143, 'mob': 120, 'not_in_zi': 36, 'not_az': 0}
[275/894] {'co': 232, 'sized': 232, 'owner': 153, 'mob': 126, 'not_in_zi': 43, 'not_az': 0}
[300/894] {'co': 251, 'sized': 251, 'owner': 166, 'mob': 132, 'not_in_zi': 49, 'not_az': 0}
[325/894] {'co': 272, 'sized': 272, 'owner': 175, 'mob': 140, 'not_in_zi': 53, 'not_az': 0}
[350/894] {'co': 295, 'sized': 295, 'owner': 186, 'mob': 145, 'not_in_zi': 55, 'not_az': 0}
[375/894] {'co': 314, 'sized': 314, 'owner': 197, 'mob': 149, 'not_in_zi': 61, 'not_az': 0}
[400/894] {'co': 326, 'sized': 326, 'owner': 201, 'mob': 152, 'not_in_zi': 74, 'not_az': 0}
[425/894] {'co': 343, 'sized': 343, 'owner': 210, 'mob': 156, 'not_in_zi': 82, 'not_az': 0}
[450/894] {'co': 357, 'sized': 357, 'owner': 212, 'mob': 157, 'not_in_zi': 93, 'not_az': 0}
[475/894] {'co': 365, 'sized': 365, 'owner': 215, 'mob': 158, 'not_in_zi': 110, 'not_az': 0}
[500/894] {'co': 380, 'sized': 380, 'owner': 220, 'mob': 161, 'not_in_zi': 120, 'not_az': 0}
[525/894] {'co': 391, 'sized': 391, 'owner': 220, 'mob': 161, 'not_in_zi': 134, 'not_az': 0}
[550/894] {'co': 403, 'sized': 403, 'owner': 226, 'mob': 163, 'not_in_zi': 147, 'not_az': 0}
[575/894] {'co': 413, 'sized': 413, 'owner': 228, 'mob': 163, 'not_in_zi': 162, 'not_az': 0}
[600/894] {'co': 422, 'sized': 422, 'owner': 230, 'mob': 164, 'not_in_zi': 178, 'not_az': 0}
[625/894] {'co': 443, 'sized': 443, 'owner': 246, 'mob': 175, 'not_in_zi': 182, 'not_az': 0}
[650/894] {'co': 466, 'sized': 466, 'owner': 257, 'mob': 183, 'not_in_zi': 184, 'not_az': 0}
[675/894] {'co': 486, 'sized': 486, 'owner': 264, 'mob': 188, 'not_in_zi': 189, 'not_az': 0}
[700/894] {'co': 500, 'sized': 500, 'owner': 268, 'mob': 191, 'not_in_zi': 200, 'not_az': 0}
[725/894] {'co': 509, 'sized': 509, 'owner': 268, 'mob': 191, 'not_in_zi': 216, 'not_az': 0}
[750/894] {'co': 526, 'sized': 526, 'owner': 273, 'mob': 194, 'not_in_zi': 224, 'not_az': 0}
[775/894] {'co': 536, 'sized': 536, 'owner': 275, 'mob': 194, 'not_in_zi': 239, 'not_az': 0}
[800/894] {'co': 545, 'sized': 545, 'owner': 277, 'mob': 196, 'not_in_zi': 255, 'not_az': 0}
[825/894] {'co': 550, 'sized': 550, 'owner': 278, 'mob': 196, 'not_in_zi': 275, 'not_az': 0}
[850/894] {'co': 555, 'sized': 555, 'owner': 279, 'mob': 197, 'not_in_zi': 295, 'not_az': 0}
[875/894] {'co': 560, 'sized': 560, 'owner': 280, 'mob': 198, 'not_in_zi': 315, 'not_az': 0}
FINISHED_ZI {'co': 568, 'sized': 568, 'owner': 283, 'mob': 201, 'not_in_zi': 326, 'not_az': 0}
